Responden,Y, EAR , MAR ,MOE
1,0,0.231,0.74,3.203
1,0,0.355,0.716,2.017
1,0,0.258,0.635,2.461
1,0,0.155,0.611,3.942
1,0,0.186,0.644,3.462
1,0,0.299,0.774,2.589
1,0,0.155,0.559,3.606
1,0,0.21,0.589,2.805
1,0,0.286,0.605,2.115
1,0,0.307,0.685,2.231
1,0,0.254,0.682,2.685
1,0,0.343,0.762,2.222
1,0,0.173,0.525,3.035
1,0,0.251,0.668,2.661
1,0,0.228,0.607,2.662
1,0,0.355,0.579,1.631
1,0,0.283,0.76,2.686
1,0,0.187,0.757,4.048
1,0,0.206,0.623,3.024
1,0,0.256,0.776,3.031
1,0,0.275,0.66,2.4
1,0,0.206,0.741,3.597
1,0,0.174,0.771,4.431
1,0,0.263,0.581,2.209
1,0,0.354,0.656,1.853
1,0,0.202,0.561,2.777
1,0,0.332,0.603,1.816
1,0,0.341,0.756,2.217
1,0,0.249,0.552,2.217
1,0,0.319,0.56,1.755
1,0,0.273,0.777,2.846
1,0,0.239,0.577,2.414
1,0,0.164,0.58,3.537
1,0,0.348,0.552,1.586
1,0,0.26,0.705,2.712
1,0,0.271,0.667,2.461
1,0,0.312,0.745,2.388
1,0,0.345,0.685,1.986
1,0,0.21,0.681,3.243
1,0,0.276,0.739,2.678
1,0,0.313,0.628,2.006
1,0,0.309,0.509,1.647
1,0,0.218,0.664,3.046
1,0,0.327,0.511,1.563
1,0,0.172,0.688,4
1,0,0.324,0.561,1.731
1,0,0.277,0.732,2.643
1,0,0.229,0.562,2.454
1,0,0.182,0.672,3.692
1,0,0.321,0.517,1.611
1,0,0.183,0.577,3.153
1,0,0.22,0.747,3.395
1,0,0.304,0.704,2.316
1,0,0.308,0.597,1.938
1,0,0.228,0.666,2.921
1,0,0.247,0.775,3.138
1,0,0.155,0.646,4.168
1,0,0.351,0.693,1.974
1,0,0.258,0.543,2.105
1,0,0.307,0.661,2.153
1,0,0.252,0.791,3.139
1,0,0.283,0.788,2.784
1,0,0.346,0.765,2.211
1,0,0.207,0.654,3.159
1,0,0.341,0.531,1.557
1,0,0.224,0.62,2.768
1,0,0.276,0.711,2.576
1,0,0.214,0.747,3.491
1,0,0.324,0.602,1.858
1,0,0.283,0.617,2.18
1,0,0.183,0.575,3.142
1,0,0.337,0.77,2.285
1,0,0.268,0.556,2.075
1,0,0.308,0.586,1.903
1,0,0.195,0.743,3.81
1,0,0.321,0.511,1.592
1,0,0.224,0.702,3.134
1,0,0.173,0.653,3.775
1,0,0.227,0.764,3.366
1,0,0.346,0.512,1.48
1,0,0.257,0.55,2.14
1,0,0.278,0.615,2.212
1,0,0.316,0.655,2.073
1,0,0.331,0.663,2.003
1,0,0.156,0.532,3.41
1,0,0.304,0.56,1.842
1,0,0.329,0.607,1.845
1,0,0.207,0.751,3.628
1,0,0.184,0.548,2.978
1,0,0.293,0.542,1.85
1,0,0.244,0.509,2.086
1,0,0.161,0.756,4.696
1,0,0.2,0.792,3.96
1,0,0.208,0.732,3.519
1,0,0.189,0.51,2.698
1,0,0.205,0.798,3.893
1,0,0.212,0.629,2.967
1,0,0.349,0.752,2.155
1,0,0.353,0.739,2.093
1,0,0.308,0.719,2.334
1,0,0.33,0.713,2.161
1,0,0.314,0.78,2.484
1,0,0.232,0.528,2.276
1,0,0.225,0.575,2.556
1,0,0.247,0.714,2.891
1,0,0.23,0.517,2.248
1,0,0.268,0.539,2.011
1,0,0.307,0.705,2.296
1,0,0.162,0.681,4.204
1,0,0.22,0.734,3.336
1,0,0.293,0.739,2.522
1,0,0.24,0.605,2.521
1,0,0.187,0.781,4.176
1,0,0.234,0.71,3.034
1,0,0.351,0.543,1.547
1,0,0.328,0.517,1.576
1,0,0.224,0.676,3.018
1,0,0.325,0.638,1.963
1,0,0.288,0.505,1.753
1,0,0.35,0.742,2.12
1,0,0.254,0.598,2.354
1,0,0.187,0.747,3.995
1,0,0.221,0.776,3.511
1,0,0.33,0.623,1.888
1,0,0.279,0.556,1.993
1,0,0.324,0.73,2.253
1,0,0.327,0.607,1.856
1,0,0.165,0.517,3.133
1,0,0.178,0.758,4.258
1,0,0.292,0.674,2.308
1,0,0.244,0.557,2.283
1,0,0.313,0.708,2.262
1,0,0.195,0.654,3.354
1,0,0.286,0.745,2.605
1,0,0.322,0.681,2.115
1,0,0.347,0.557,1.605
1,0,0.204,0.754,3.696
1,0,0.177,0.776,4.384
1,0,0.226,0.558,2.469
1,0,0.324,0.552,1.704
1,0,0.161,0.617,3.832
1,0,0.311,0.708,2.277
1,0,0.183,0.552,3.016
1,0,0.24,0.653,2.721
1,0,0.275,0.788,2.865
1,0,0.258,0.58,2.248
1,0,0.292,0.638,2.185
1,0,0.178,0.718,4.034
1,0,0.339,0.624,1.841
1,0,0.331,0.697,2.106
1,0,0.159,0.541,3.403
1,0,0.169,0.792,4.686
1,0,0.172,0.575,3.343
1,0,0.219,0.591,2.699
1,0,0.312,0.638,2.045
1,0,0.343,0.503,1.466
